,Country,Happiness score,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
3,Switzerland,7.512,2.153,2.026,1.226,0.822,0.677,0.147,0.461
4,Netherlands,7.415,2.137,1.945,1.206,0.787,0.651,0.271,0.419
9,New Zealand,7.2,1.954,1.852,1.235,0.752,0.68,0.245,0.483
14,Canada,7.025,1.924,1.886,1.188,0.783,0.659,0.217,0.368
24,Saudi Arabia,6.523,2.075,1.87,1.092,0.577,0.651,0.078,0.18
43,Chile,6.172,2.04,1.651,1.08,0.748,0.46,0.124,0.069
53,Japan,6.039,1.487,1.835,1.089,0.866,0.537,0.007,0.218
55,Portugal,6.016,1.691,1.76,1.078,0.777,0.655,0.016,0.039
71,China,5.585,1.516,1.508,0.958,0.705,0.656,0.099,0.142
76,Vietnam,5.485,1.735,1.252,0.932,0.611,0.707,0.143,0.105
83,Nepal,5.377,2.224,0.984,0.784,0.499,0.519,0.237,0.13
90,South Africa,5.194,1.742,1.425,1.088,0.361,0.442,0.089,0.046
97,Ukraine,5.084,1.331,1.411,1.081,0.583,0.473,0.188,0.017
99,Morocco,5.06,2.405,1.208,0.268,0.565,0.492,0.02,0.102
101,Cameroon,5.048,2.469,0.968,0.672,0.317,0.397,0.152,0.074
109,Iran,4.888,1.427,1.41,0.741,0.642,0.281,0.241,0.146
128,Egypt,4.288,0.856,1.388,0.732,0.548,0.469,0.041,0.254
135,India,3.777,0.795,1.167,0.376,0.471,0.647,0.198,0.123
